Produtos,,,,,,,,,,,,,,,,
Código,Código de barras,Nome,Estoque,Custo,Venda Preço unit.,Data última compra,Percentual % markup da última precificação,UN,Qt mínima estoque,Preço última compra,GRUPO,Códigos de barras/EANS,Observação,Pesável,Tipo de produto,Qt Máxima Estoque
1602,7899941201736,2HOT PRE TREINO TERMOGENICO 200G SABOR LIMAO MAX,0,"66,92","99,9",07/05/2025,"49,28",UN,0,,SUPLEMENTOS,7899941201736,,Não,00 - Mercadoria para revenda,0
1515,7899941201743,2HOT PRE TREINO TERMOGENICO 200G SABOR TANGERINA MAX,1,"68,82","109,9",06/03/2026,"59,69",UN,0,,SUPLEMENTOS,7899941201743,,Não,00 - Mercadoria para revenda,0
1511,7899941201750,2HOT PRE TREINO TERMOGENICO 200G SABOR UVA MAX,0,"64,505","99,9",23/12/2024,"54,87",UN,0,,SUPLEMENTOS,7899941201750,,Não,00 - Mercadoria para revenda,0
1556,7898655967822,5 MAGNESIO 60CPS 500MG MACROPHYTUS,2,"22,82","44,9",31/03/2026,"96,76",UN,0,,ENCAPSULADOS,7898655967822,,Não,00 - Mercadoria para revenda,0
1051865082,7898197934610,5 MAGNESIO 60CPS 500MG MELFORT,1,"21,93","44,9",23/02/2026,"104,74",UN,0,,ENCAPSULADOS,7898197934610,,Não,00 - Mercadoria para revenda,0
1930,7898599098682,8 MAGNESIO 60CPS PERFEITA ALQUIMIA,1,"47,48","81,9",26/02/2026,"72,49",UN,0,,ENCAPSULADOS,7898599098682,,Não,00 - Mercadoria para revenda,0
3,,ACAFRAO/CURCUMA PO  KG,"1,115","14,75",42,09/04/2026,"184,75",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
1953,42882985952,"ACAI COM GUARANA 1,5LT OCEAN",1,30,"44,9",09/04/2026,"49,67",UN,0,,GELADEIRA,42882985952,,Não,00 - Mercadoria para revenda,0
1929,42882985938,ACAI COM GUARANA 250ML OCEAN,6,"8,5","16,9",25/03/2026,"98,82",UN,0,,GELADEIRA,42882985938,"1ª  7,00  /depois 8,00",Não,00 - Mercadoria para revenda,0
1954,42882985921,ACAI COM GUARANA 5LT OCEAN,6,85,"129,9",30/03/2026,"52,82",UN,0,,GELADEIRA,42882985921,,Não,00 - Mercadoria para revenda,0
1656,7898615895066,ACAI E GUARANA 10CPS 750MG LASANDAY,1,"8,44","11,9",26/05/2025,41,UN,0,,ENCAPSULADOS,7898615895066,,Não,00 - Mercadoria para revenda,0
3529,7898593052970,ACALENTUS MELATONINA 90CPS MAXINUTRI,1,"22,95","45,9",,100,UN,0,,ENCAPSULADOS,7898593052970,kfg,Não,00 - Mercadoria para revenda,0
10323,7898593052925,ACALENTUS MELATONINA GOTAS 15ML CAMOMILA MAXINUTRI,0,"18,7","31,9",07/04/2026,"70,59",UN,0,,ENCAPSULADOS,7898593052925,kfg,Não,00 - Mercadoria para revenda,0
1648,7898593052918,ACALENTUS PLUS MELATONINA + TRIPTOFANO 60CPS MAXINUTRI,1,"31,6","59,9",09/12/2025,"89,56",UN,0,,ENCAPSULADOS,7898593052918,kfg,Não,00 - Mercadoria para revenda,0
10319,,ACERTO CONTAS ANTIGAS ERVA DOCE RECEBIMENTOS,0,0,1,10/10/2023,0,UN,0,,ACERTO FINANCEIRO ANTIGO,,,Não,00 - Mercadoria para revenda,0
2475,7896226301051,ACIDO CITRICO ARCOLOR 40G,0,"7,99","14,9",04/03/2026,"86,48",UN,0,,GERAL,7896226301051,,Não,00 - Mercadoria para revenda,0
539,,ACIDO CITRICO KG,"0,4","42,35",75,4/11/2025,"77,1",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
1051865047,7898655964470,ACIDO HIALURONICO 500MG 30CPS HYALOCARE MACROPHYTUS,2,"7,05","44,9",19/05/2025,"536,88",UN,0,,ENCAPSULADOS,7898655964470,,Não,00 - Mercadoria para revenda,0
296,,ACUCAR BAUNILHA KG,0,"17,4",25,10/11/2023,"43,68",KG,0,,GRANEL,,LINEA 10.36,Sim,00 - Mercadoria para revenda,0
4,,ACUCAR COCO  KG,"1,244","26,9",55,10/04/2026,"104,46",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
531,,ACUCAR CONFEITEIRO KG,"0,168","13,5",25,20/03/2026,"85,19",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
2979,7898510170565,ACUCAR DEMERARA 1KG,0,"5,8",9,08/09/2025,"55,17",UN,0,,GERAL,7898510170565,,Não,00 - Mercadoria para revenda,0
2980,7898510170572,ACUCAR DEMERARA 500G           HASI,8,"3,5","5,9",17/03/2026,"68,57",UN,0,,GRANEL,7898510170572,,Não,00 - Mercadoria para revenda,0
2200,7891910030309,ACUCAR DEMERARA DA BARRA 1KG,0,"5,7",9,,0,UN,0,,GERAL,7891910030309,,Não,00 - Mercadoria para revenda,0
335,,ACUCAR MASCAVO CLARO COLONIAL KG,0,"16,36",27,26/09/2025,"65,04",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
5,,ACUCAR MASCAVO (ESCURO),7,"9,6",17,21/03/2026,"77,08",KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
2978,7898510170558,ACUCAR MASCAVOI 500G  HASI,2,"2,99","4,8",,0,UN,0,,GERAL,7898510170558,,Não,00 - Mercadoria para revenda,0
1846,7896292005754,ADOCANTE CULINARIO 400G POTE LOWCUCAR,1,"21,61","39,9",19/03/2026,"84,64",UN,0,,GERAL,7896292005754,,Não,00 - Mercadoria para revenda,0
3470,602883445277,ADOCANTE CULINARIO FORNO E FOGAO 320G COLOR ANDINA,1,"35,27","59,9",12/03/2026,"69,83",UN,0,,GERAL,602883445277,,Não,00 - Mercadoria para revenda,0
2527,7896589402525,"ADOCANTE SACHE STEVITA 50X0,6G",1,"11,15","21,9",06/02/2026,"96,41",UN,0,,GERAL,7896589402525,,Não,00 - Mercadoria para revenda,0
2523,7896589401900,"ADOCANTE SACHE SUCRALOSE 50X0,6G FIT",0,"6,8","10,9",,0,UN,0,,GERAL,7896589401900,,Não,00 - Mercadoria para revenda,0
1510,7896589404581,ADOCANTE STEVITA LIQUIDO 60ML,1,"14,01","23,9",18/03/2026,"70,59",UN,0,,GERAL,7896589404581,,Não,00 - Mercadoria para revenda,0
283,,AGAR AGAR KG,"0,15","92,5",108,20/02/2026,0,KG,0,,GRANEL,,,Sim,00 - Mercadoria para revenda,0
1051865275,7898596082936,AGUA DE COCO INTEGRAL 200ML COPRA,16,"0,99","4,5",05/11/2025,"354,55",UN,0,,GELADEIRA,7898596082936,,Não,00 - Mercadoria para revenda,0
3097,7898648021821,AGUA DE COCO VITCOCO 200ML,19,"2,5","4,9",26/03/2026,96,UN,0,,GRANEL,7898648021821,,Não,00 - Mercadoria para revenda,0
2767,7898355856280,AGUA DE MELISSA 100ML,1,"6,98","13,5",19/07/2025,"93,41",UN,0,,GERAL,7898355856280,phd,Não,00 - Mercadoria para revenda,0
2512,7896436100642,AGUA MINERAL COM GAS 500ML,0,"0,89","3,5",01/04/2026,0,UN,0,,GELADEIRA,7896436100642,,Não,00 - Mercadoria para revenda,0
1800,7896436103438,AGUA MINERAL SEM GAS 500ML,0,"1,09","2,5",02/04/2026,"129,36",UN,0,,GELADEIRA,7896436103438,,Não,00 - Mercadoria para revenda,0
1923,7896436103285,AGUA SABOR. ABACAXI E HORTELÃ C/ GAS 350ML - AGUA DA PEDRA,0,"2,85","4,5",14/03/2026,"57,89",UN,0,,GELADEIRA,7896436103285,,Não,00 - Mercadoria para revenda,0
1924,7896436103896,AGUA SABOR. BLUE E LIM. SICIL. C/ GAS 350ML - AGUA DA PEDRA,0,"2,85","4,5",09/03/2026,"57,89",UN,0,,GELADEIRA,7896436103896,,Não,00 - Mercadoria para revenda,0
2382,7896098904732,"AGUA SANITARIA YPE LV 2 PG 1,8 L",3,"2,99","4,93",,"68,84",UN,0,,INSUMOS E EMBALAGENS,7896098904732,,Não,00 - Mercadoria para revenda,0
2,,ALBUMINA  KG,"0,576","50,63",115,13/03/2026,"127,14",KG,0,,GRANEL,,NATUROVOS 77.18,Sim,00 - Mercadoria para revenda,0
2543,7896715607046,ALBUMINA NATUROVOS 1KG NATURAL,3,"50,62455",115,18/12/2024,"127,16",UN,0,,SUPLEMENTOS,7896715607046,,Não,00 - Mercadoria para revenda,0
